date,price
2025-04-14,15053.5
2025-04-15,14899.0
2025-04-16,14861.333333333334
2025-04-17,14903.0
2025-04-18,14841.666666666666
2025-04-19,14602.833333333334
2025-04-20,14545.833333333334
2025-04-21,15045.5
2025-04-22,15477.833333333334
2025-04-23,14871.166666666666
2025-04-24,14940.166666666666
2025-04-25,14712.333333333334
2025-04-26,14135.166666666666
2025-04-27,14841.666666666666
2025-04-28,14532.0
2025-04-29,14179.166666666666
2025-04-30,14532.0
2025-05-01,14194.333333333334
2025-05-02,15229.166666666666
2025-05-03,14416.666666666666
2025-05-04,13833.333333333334
2025-05-05,14361.0
2025-05-06,14361.0
2025-05-07,14500.0
2025-05-08,14500.0
2025-05-09,14361.0
2025-05-10,14361.0
2025-05-11,15041.666666666666
2025-05-12,15041.666666666666
2025-05-13,14701.333333333332
2025-05-14,14361.0
2025-05-15,14208.333333333334
2025-05-16,14361.0
2025-05-17,14229.166666666666
2025-05-18,14249.833333333334
2025-05-19,14366.666666666666
2025-05-20,14366.666666666666
2025-05-21,14325.0
2025-05-22,14222.0
2025-05-23,13766.666666666666
2025-05-24,14304.166666666666
2025-05-25,14194.333333333334
2025-05-26,14194.333333333334
2025-05-27,14145.833333333334
2025-05-28,14194.333333333334
2025-05-29,14416.666666666666
2025-05-30,14194.333333333334
2025-05-31,13972.166666666666
2025-06-01,14638.833333333334
2025-06-02,14666.666666666666
2025-06-03,14841.666666666666
2025-06-04,14479.166666666666
2025-06-05,14437.5
2025-06-06,13800.0
2025-06-07,14638.833333333334
2025-06-08,13944.5
2025-06-09,14222.166666666666
2025-06-10,13694.5
2025-06-11,14458.333333333334
2025-06-12,14319.5
2025-06-13,13944.5
2025-06-14,14638.833333333334
2025-06-15,14638.833333333334
2025-06-16,14500.0
2025-06-17,14368.0
2025-06-18,14541.666666666666
2025-06-19,14541.666666666666
2025-06-20,14500.0
2025-06-21,14694.333333333334
2025-06-22,15055.666666666666
2025-06-23,14541.666666666666
2025-06-24,14520.833333333334
2025-06-25,13972.166666666666
2025-06-26,14777.666666666666
2025-06-27,14500.0
2025-06-28,14500.0
2025-06-29,14222.166666666666
2025-06-30,14645.833333333334
2025-07-01,14645.833333333334
2025-07-02,14645.833333333334
2025-07-03,14604.166666666666
2025-07-04,14645.833333333334
2025-07-05,14222.166666666666
2025-07-06,14645.833333333334
2025-07-07,14645.833333333334
2025-07-08,15365.5
2025-07-09,14861.0
2025-07-10,14645.833333333334
2025-07-11,14388.833333333334
2025-07-12,14645.833333333334
2025-07-13,14222.166666666666
2025-07-14,14520.833333333334
2025-07-15,14521.166666666666
2025-07-16,14521.166666666666
2025-07-17,14215.166666666666
2025-07-18,14520.833333333334
2025-07-19,14520.833333333334
2025-07-20,14722.166666666666
2025-07-21,14222.166666666666
2025-07-22,14583.333333333334
2025-07-23,14583.333333333334
2025-07-24,14805.857142857143
2025-07-25,14988.142857142857
2025-07-26,14910.714285714286
2025-07-27,15092.857142857143
2025-07-28,15121.42857142857
2025-07-29,15121.42857142857
2025-07-30,14816.0
2025-07-31,15389.285714285714
2025-08-01,14993.0
2025-08-02,14764.285714285714
2025-08-03,14861.285714285714
2025-08-04,15261.166666666666
2025-08-05,15375.0
2025-08-06,15279.714285714286
2025-08-07,15357.142857142857
2025-08-08,15201.333333333334
2025-08-09,15201.333333333334
2025-08-10,15077.833333333334
2025-08-11,15520.833333333334
2025-08-12,15826.333333333334
2025-08-13,15305.5
2025-08-14,15822.166666666666
2025-08-15,15822.166666666666
2025-08-16,15263.833333333334
2025-08-17,15563.833333333334
2025-08-18,16361.166666666666
2025-08-19,15804.166666666666
2025-08-20,16090.333333333334
2025-08-21,16132.0
2025-08-22,15837.5
2025-08-23,15604.166666666666
2025-08-24,16347.166666666666
2025-08-25,15958.333333333334
2025-08-26,15583.333333333334
2025-08-27,15843.0
2025-08-28,15843.0
2025-08-29,15909.666666666666
2025-08-30,16000.0
2025-08-31,15291.666666666666
2025-09-01,15708.333333333334
2025-09-02,15843.0
2025-09-03,15809.666666666666
2025-09-04,16312.5
2025-09-05,15000.0
2025-09-06,16400.0
2025-09-07,16400.0
2025-09-08,16083.333333333334
2025-09-09,15761.0
2025-09-10,15416.666666666666
2025-09-11,15722.166666666666
2025-09-12,15722.166666666666
2025-09-13,14900.0
2025-09-14,16400.0
2025-09-15,16750.0
2025-09-16,16750.0
2025-09-17,16750.0
2025-09-18,16750.0
2025-09-19,14841.666666666666
2025-09-20,16750.0
2025-09-21,16400.0
2025-09-22,16533.333333333336
2025-09-23,16666.666666666668
2025-09-24,15361.166666666666
2025-09-25,15527.833333333334
2025-09-26,15638.833333333334
2025-09-27,15300.0
2025-09-28,15300.0
2025-09-29,15638.833333333334
2025-09-30,16333.333333333334
2025-10-01,16166.666666666666
2025-10-02,15638.833333333334
2025-10-03,15638.833333333334
2025-10-04,15350.0
2025-10-05,16400.0
2025-10-06,15388.833333333334
2025-10-07,16333.333333333334
2025-10-08,16333.333333333334
2025-10-09,16333.333333333334
2025-10-10,15388.833333333334
2025-10-11,14500.0
2025-10-12,15100.0
2025-10-13,15555.5
2025-10-14,15555.5
2025-10-15,15555.5
2025-10-16,15694.5
2025-10-17,15666.666666666666
2025-10-18,13500.0
2025-10-19,15400.0
2025-10-20,15666.666666666666
2025-10-21,15500.0
2025-10-22,15277.833333333334
2025-10-23,15819.5
2025-10-24,15777.833333333334
2025-10-25,15400.0
2025-10-26,15400.0
2025-10-27,15400.0
2025-10-28,15611.166666666666
2025-10-29,15194.333333333334
2025-10-30,15138.833333333334
2025-10-31,15361.0
2025-11-01,15400.0
2025-11-02,15583.333333333334
2025-11-03,15916.666666666666
2025-11-04,15361.0
2025-11-05,15361.0
2025-11-06,15361.0
2025-11-07,15361.0
2025-11-08,14800.0
2025-11-09,15200.0
2025-11-10,15361.0
2025-11-11,15400.0
2025-11-12,15361.0
2025-11-13,15400.0
2025-11-14,15400.0
2025-11-15,15916.666666666666
2025-11-16,15400.0
2025-11-17,15361.0
2025-11-18,15361.0
2025-11-19,15361.0
2025-11-20,15361.0
2025-11-21,15361.0
2025-11-22,15361.0
2025-11-23,15000.0
2025-11-24,15277.666666666666
2025-11-25,14880.857142857143
2025-11-26,15400.0
2025-11-27,15319.0
2025-11-28,15400.0
2025-11-29,15400.0
2025-11-30,16025.0
2025-12-01,16650.0
2025-12-02,15899.8
2025-12-03,15899.8
2025-12-04,14809.57142857143
2025-12-05,14928.57142857143
2025-12-06,15200.0
2025-12-07,15400.0
2025-12-08,15357.142857142857
